,Rank,Country Code,Country,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
0,36,AFG,Afghanistan,Kabul,Asia,"4,20,10,107",41128771,"4,03,74,668",38972230,33753499,28189672,19542982,652230,63.0587,2.70%,0.53%
1,138,ALB,Albania,Tirana,Europe,"28,34,370",2842321,"28,69,700",2866849,2882481,2913399,3182021,28748,98.8702,-0.35%,0.04%
2,34,DZA,Algeria,Algiers,Africa,"4,54,66,187",44903225,"4,50,61,896",43451666,39543154,35856344,30774621,2381741,18.8531,1.57%,0.57%
3,213,ASM,American Samoa,Pago Pago,Oceania,"43,914",44273,"55,100",46189,51368,54849,58230,199,222.4774,-0.81%,0%
4,203,AND,Andorra,Andorra la Vella,Europe,"80,088",79824,"77,355",77700,71746,71519,66097,468,170.5641,0.33%,0%
5,42,AGO,Angola,Luanda,Africa,"3,64,57,673",35588987,"3,45,66,172",33428485,28127721,23364185,16394062,1246700,28.5466,3.08%,0.46%
6,224,AIA,Anguilla,The Valley,North America,"15,899",15857,"15,117",15585,14525,13172,11047,91,174.2527,0.26%,0%
7,201,ATG,Antigua and Barbuda,Saint John’s,North America,,93763,,92664,89941,85695,75055,442,212.1335,,
8,33,ARG,Argentina,Buenos Aires,South America,"4,57,15,321",45510318,"4,58,47,428",45036032,43257065,41100123,37070774,2780400,16.3683,0.58%,0.57%
9,140,ARM,Armenia,Yerevan,Asia,"27,77,970",2780469,"29,70,929",2805608,2878595,2946293,3168523,29743,93.4831,-0.09%,0.03%
10,198,ABW,Aruba,Oranjestad,North America,"1,06,277",106445,"1,07,204",106585,104257,100341,89101,180,591.3611,-0.16%,0%
11,55,AUS,Australia,Canberra,Oceania,"2,63,85,697",26177413,"2,59,59,987",25670051,23820236,22019168,19017963,7692024,3.4032,1%,0.33%
12,99,AUT,Austria,Vienna,Europe,"89,55,099",8939617,"90,65,484",8907777,8642421,8362829,8010428,83871,106.5877,0.22%,0.11%
13,91,AZE,Azerbaijan,Baku,Asia,"1,04,01,711",10358074,"1,02,72,912",10284951,9863480,9237202,8190337,86600,119.6082,0.53%,0.13%
14,176,BHS,Bahamas,Nassau,North America,"4,11,979",409984,"3,99,068",406471,392697,373272,325014,13943,29.4043,0.64%,0.01%
15,154,BHR,Bahrain,Manama,Asia,"14,82,935",1472233,"17,75,452",1477469,1362142,1213645,711442,765,1924.4876,0.90%,0.02%
16,8,BGD,Bangladesh,Dhaka,Asia,"17,25,95,863",171186372,"16,72,47,491",167420951,157830000,148391139,129193327,147570,1160.035,1.03%,2.16%
17,186,BRB,Barbados,Bridgetown,North America,"2,81,995",281635,"2,87,927",280693,278083,274711,264657,430,654.9651,0.13%,0%
18,96,BLR,Belarus,Minsk,Europe,"95,07,248",9534954,"94,38,767",9633740,9700609,9731427,10256483,207600,45.9295,-0.39%,0.12%
19,81,BEL,Belgium,Brussels,Europe,"1,16,80,348",11655930,"1,16,58,404",11561717,11248303,10877947,10264343,30528,381.8111,0.26%,0.15%
20,177,BLZ,Belize,Belmopan,North America,"4,09,538",405272,"4,09,224",394921,359871,322106,240406,22966,17.6466,1.37%,0.01%
21,77,BEN,Benin,Porto-Novo,Africa,"1,36,38,820",13352864,"1,26,44,580",12643123,10932783,9445710,6998023,112622,118.5635,2.70%,0.17%
22,206,BMU,Bermuda,Hamilton,North America,"64,069",64184,"62,090",64031,63144,63447,61371,54,1188.5926,-0.18%,0%
23,165,BTN,Bhutan,Thimphu,Asia,"7,86,137",782455,"7,84,855",772506,743274,705516,587207,38394,20.3796,0.64%,0.01%
24,80,BOL,Bolivia,Sucre,South America,"1,23,51,889",12224110,"1,19,27,124",11936162,11090085,10223270,8592656,1098581,11.1272,1.35%,0.15%
25,137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,,3233526,,3318407,3524324,3811088,4179350,51209,63.1437,,
26,144,BWA,Botswana,Gaborone,Africa,"26,66,342",2630296,"24,23,535",2546402,2305171,2091664,1726985,582000,4.5194,1.71%,0.03%
27,7,BRA,Brazil,Brasilia,South America,"21,61,69,532",215313498,"21,48,32,901",213196304,205188205,196353492,175873720,8515767,25.2841,0.52%,2.70%
28,221,VGB,British Virgin Islands,Road Town,North America,,31305,,30910,29366,27556,20104,151,207.3179,,
29,175,BRN,Brunei,Bandar Seri Begawan,Asia,"4,51,880",449002,"4,43,903",441725,421437,396053,333926,5765,77.8841,0.78%,0.01%
30,108,BGR,Bulgaria,Sofia,Europe,"67,05,093",6781953,"68,66,274",6979175,7309253,7592273,8097691,110879,61.1654,-1.39%,0.08%
31,58,BFA,Burkina Faso,Ouagadougou,Africa,"2,31,32,429",22673762,"2,18,47,968",21522626,18718019,16116845,11882888,272967,83.0641,2.55%,0.29%
32,78,BDI,Burundi,Bujumbura,Africa,"1,31,67,125",12889576,"1,24,69,663",12220227,10727148,9126605,6307659,27834,463.0874,2.71%,0.17%
33,73,KHM,Cambodia,Phnom Penh,Asia,"1,69,08,144",16767842,"1,70,80,063",16396860,15417523,14363532,12118841,181035,92.6221,1.06%,0.21%
34,53,CMR,Cameroon,Yaounde,Africa,"2,84,96,059",27914536,"2,76,24,492",26491087,23012646,19878036,15091594,475442,58.7128,2.63%,0.36%
35,39,CAN,Canada,Ottawa,North America,"3,87,14,362",38454327,"3,82,61,228",37888705,35732126,33963412,30683313,9984670,3.8513,0.85%,0.48%
36,171,CPV,Cape Verde,Praia,Africa,"5,97,395",593149,"5,65,346",582640,552166,521212,458251,4033,147.0739,0.93%,0.01%
37,205,CYM,Cayman Islands,George Town,North America,"69,310",68706,"66,497",67311,60911,54074,39658,264,260.25,0.88%,0%
38,117,CAF,Central African Republic,Bangui,Africa,"57,08,207",5579144,"49,71,922",5343020,4819333,4660067,3759170,622984,8.9555,2.92%,0.07%
39,69,TCD,Chad,N'Djamena,Africa,"1,81,64,016",17723315,"1,72,03,787",16644701,14140274,11894727,8259137,1284000,13.8032,3.13%,0.23%
40,65,CHL,Chile,Santiago,South America,"1,96,23,798",19603733,"1,92,75,294",19300315,17870124,17004162,15351799,756102,25.9274,0.13%,0.25%
41,1,CHN,China,Beijing,Asia,"1,42,57,44,073",1425887337,"1,44,70,65,329",1424929781,1393715448,1348191368,1264099069,9706961,146.8933,-0.02%,17.81%
42,28,COL,Colombia,Bogota,South America,"5,20,33,684",51874024,"5,15,04,213",50930662,47119728,44816108,39215135,1141748,45.4339,0.41%,0.65%
43,163,COM,Comoros,Moroni,Africa,"8,48,857",836774,"8,99,658",806166,730216,656024,536758,1862,449.3953,1.83%,0.01%
44,223,COK,Cook Islands,Avarua,Oceania,"17,044",17011,"17,565",17029,17695,17212,15897,236,72.0805,0.19%,0%
45,124,CRI,Costa Rica,San José,North America,"52,05,094",5180829,"51,65,346",5123105,4895242,4622252,3979193,51100,101.3861,0.60%,0.07%
46,130,HRV,Croatia,Zagreb,Europe,"40,13,122",4030358,"40,67,642",4096868,4254815,4368682,4548434,56594,71.2153,-0.54%,0.05%
47,85,CUB,Cuba,Havana,North America,"1,11,98,310",11212191,"1,13,12,548",11300698,11339894,11290417,11105791,109884,102.0366,-0.16%,0.14%
48,189,CUW,Curacao,Willemstad,North America,"1,92,077",191163,"1,65,229",189288,169572,159380,141424,444,430.5473,0.48%,0%
49,158,CYP,Cyprus,Nicosia,Europe,"12,58,207",1251488,"12,20,541",1237537,1187280,1129686,948237,9251,135.2814,0.69%,0.02%
50,88,CZE,Czech Republic,Prague,Europe,"1,04,93,364",10493986,"1,07,32,960",10530953,10523798,10464749,10234710,78865,133.0627,0.01%,0.13%
51,115,DNK,Denmark,Copenhagen,Europe,"59,05,121",5882261,"58,25,798",5825641,5677796,5550849,5340655,43094,136.4984,0.49%,0.07%
52,160,DJI,Djibouti,Djibouti,Africa,"11,33,237",1120849,"10,10,377",1090156,1006259,919199,742033,23200,48.3125,1.39%,0.01%
53,204,DMA,Dominica,Roseau,North America,"73,040",72737,"72,167",71995,70007,68755,68346,751,96.8535,0.42%,0%
54,84,DOM,Dominican Republic,Santo Domingo,North America,"1,13,12,378",11228821,"1,10,15,774",10999664,10405832,9775755,8540791,48671,230.7087,0.93%,0.14%
55,15,COD,DR Congo,Kinshasa,Africa,,99010212,,92853164,78656904,66391257,48616317,2344858,42.2244,,
56,67,ECU,Ecuador,Quito,South America,"1,81,51,871",18001000,"1,80,33,738",17588595,16195902,14989585,12626507,276841,65.0229,1.05%,0.23%
57,14,EGY,Egypt,Cairo,Africa,"11,23,62,003",110990103,"10,53,90,688",107465134,97723799,87252413,71371371,1002450,110.7188,1.56%,1.41%
58,112,SLV,El Salvador,San Salvador,North America,"63,58,508",6336392,"65,37,250",6292731,6231066,6114034,5958482,21041,301.145,0.45%,0.08%
59,152,GNQ,Equatorial Guinea,Malabo,Africa,"17,06,305",1674908,"14,77,483",1596049,1346973,1094524,684977,28051,59.7094,2.37%,0.02%
60,132,ERI,Eritrea,Asmara,Africa,"37,35,386",3684032,"36,33,796",3555868,3340006,3147727,2392880,117600,31.3268,1.76%,0.05%
61,156,EST,Estonia,Tallinn,Europe,"13,23,409",1326062,"13,24,323",1329444,1314657,1331535,1396877,45227,29.3201,-0.25%,0.02%
62,159,SWZ,Eswatini,Mbabane,Africa,,1201670,,1180655,1133936,1099920,1030496,17364,69.2047,,
63,12,ETH,Ethiopia,Addis Ababa,Africa,"12,58,78,364",123379924,"11,95,90,501",117190911,102471895,89237791,67031867,1104300,111.7268,2.55%,1.58%
64,231,FLK,Falkland Islands,Stanley,South America,"3,791",3780,"3,533",3747,3408,3187,3080,12173,0.3105,0.29%,FLK
65,209,FRO,Faroe Islands,Tórshavn,Europe,"53,270",53090,"49,049",52415,48816,48410,45660,1393,38.112,0.34%,0%
66,162,FJI,Fiji,Suva,Oceania,"9,35,088",929766,"9,06,570",920422,917200,905169,832509,18272,50.8847,0.71%,0.01%
67,118,FIN,Finland,Helsinki,Europe,"55,44,831",5540745,"55,53,102",5529468,5479461,5363271,5176209,338424,16.3722,0.09%,0.07%
68,23,FRA,France,Paris,Europe,"6,47,30,842",64626628,"6,55,20,147",64480053,63809769,62444567,58665453,551695,117.1419,0.20%,0.81%
69,184,GUF,French Guiana,Cayenne,South America,,304557,,290969,257026,228453,164351,83534,3.6459,,
70,183,PYF,French Polynesia,Papeete,Oceania,"3,08,228",306279,"2,83,392",301920,291787,283788,250927,4167,73.5011,0.85%,0%
71,146,GAB,Gabon,Libreville,Africa,"24,26,913",2388992,"23,10,507",2292573,2028517,1711105,1272935,267668,8.9252,1.99%,0.03%
72,142,GMB,Gambia,Banjul,Africa,"27,59,010",2705992,"25,28,326",2573995,2253133,1937275,1437539,10689,253.1567,2.48%,0.03%
73,131,GEO,Georgia,Tbilisi,Asia,"37,31,500",3744385,"39,73,946",3765912,3771132,3836831,4265172,69700,53.7214,-0.43%,0.05%
74,19,DEU,Germany,Berlin,Europe,"8,33,02,356",83369843,"8,39,75,691",83328988,82073226,81325090,81551677,357114,233.4544,-0.09%,1.04%
75,47,GHA,Ghana,Accra,Africa,"3,39,89,414",33475870,"3,21,20,718",32180401,28870939,25574719,19665502,238533,140.3406,1.93%,0.43%
76,219,GIB,Gibraltar,Gibraltar,Europe,"32,688",32649,"33,698",32709,32520,31262,27741,6,5441.5,0.12%,0%
77,90,GRC,Greece,Athens,Europe,"1,03,49,000",10384971,"1,03,40,571",10512232,10806641,11033783,11038109,131990,78.68,-0.42%,0.13%
78,208,GRL,Greenland,Nuuk,North America,"56,643",56466,"56,877",56026,55895,56351,56184,2166086,0.0261,0.31%,0%
79,193,GRD,Grenada,Saint George's,North America,"1,26,183",125438,"1,13,237",123663,118980,114039,107432,344,364.6453,0.59%,0%
80,178,GLP,Guadeloupe,Basse-Terre,North America,,395752,,395642,399089,403072,424067,1628,243.0909,,
